host,url,score,http_status,raisons,tech
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/medecins-sans-frontieres,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/premiere-urgence-internationale,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2021/produits/compte-agir/projets,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2021/produits/livret-cooperation-pour-ma-region/montant,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/aide-et-action,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/produits/livret-solidaire-associations,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/fondation-abbe-pierre,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/ccfd-terre-solidaire,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/handicap-international,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com | sonde: 0 reponse 200 exploitable sur 4 id -> indetermine,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/produits/livret-a-comme-agir,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/unicef,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/sos-villages-d-enfants,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/france-active,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/france-active,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/apf-france-handicap,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/unicef,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/electriciens-sans-frontieres,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/solidarites-international,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/produits/livret-solidaire-associations,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/aides,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
